id,microbe_level,diet_type,tissue,nat_lab,sample_wt_g,conc_sample_ngperg,num_larvae,avg_ba_conc,high_ba_conc,low_ba_conc,avg_sa_conc,high_sa_conc,low_sa_conc,avg_iaa_conc,high_iaa_conc,low_iaa_conc
B4,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B4,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B4F,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B4F,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B4H,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B4H,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
NI1F,nonaxenic,indole,fat,nat,0.0607,948.381242,20,270.393808,368.4872547,172.3003613,156.4437774,184.7218551,128.1656998,24785.16733,24893.8826,24676.45207
NI1F,nonaxenic,indole,fat,lab,0.0607,381.2587436,20,-296.7286904,-198.6352438,-394.8221371,82960.24801,82988.52609,82931.96993,12455.34981,12564.06507,12346.63454
NB1,nonaxenic,benzoic,sal,nat,0.0519,11006.95852,20,10214.01368,10328.73954,10099.28782,42.20100683,75.27382597,9.128187692,998.2350269,1125.383709,871.0863451
NB1,nonaxenic,benzoic,sal,lab,0.0519,3207.533855,20,2414.589014,2529.314875,2299.863152,107822.9124,107855.9852,107789.8396,158413.5802,158540.7289,158286.4315
NB1F,nonaxenic,benzoic,fat,nat,0.0695,11626.22518,20,11034.08364,11119.75662,10948.41066,68.47947768,93.17702176,43.7819336,-3.896183987,91.05369495,-98.84606292
NB1F,nonaxenic,benzoic,fat,lab,0.0695,611.2598495,20,19.11830638,104.7912879,-66.5546751,43978.47822,44003.17577,43953.78068,212840.2195,212935.1694,212745.2696
NB1H,nonaxenic,benzoic,hem,nat,0.1073,2250.431029,20,1866.891073,1922.382893,1811.399254,24.51637708,40.51338839,8.519365769,-34.5482512,26.95236935,-96.04887176
NB1H,nonaxenic,benzoic,hem,lab,0.1073,8519.584756,20,8136.044801,8191.53662,8080.552981,88964.34305,88980.34006,88948.34604,699451.1393,699512.64,699389.6387
NC1,nonaxenic,control,sal,nat,0.0552,707.1394347,20,-38.40109506,69.46615518,-146.2683453,-5.280390985,25.81524875,-36.37603072,-92.74200261,26.80539931,-212.2894045
NC1,nonaxenic,control,sal,lab,0.0552,22998.58228,20,22253.04175,22360.909,22145.1745,121371.6943,121402.7899,121340.5987,379177.7204,379297.2678,379058.173
NC1F,nonaxenic,control,fat,nat,0.0455,1011.950634,20,107.4706943,238.3338198,-23.3924313,40.18637133,77.9111914,2.461551251,-102.6867607,42.34657085,-247.7200923
NC1F,nonaxenic,control,fat,lab,0.0455,12719.01332,20,11814.53338,11945.3965,11683.67025,131290.125,131327.8498,131252.4002,236143.5961,236288.6295,235998.5628
NC1H,nonaxenic,control,hem,nat,0.1052,444.577854,20,53.38168242,109.9812282,-3.217863326,19.85634551,36.17268879,3.540002228,-6.371885431,56.35640911,-69.10017997
NC1H,nonaxenic,control,hem,lab,0.1052,8320.144349,20,7928.948178,7985.547723,7872.348632,34963.85806,34980.17441,34947.54172,156.9041411,219.6324356,94.17584656
NI1,nonaxenic,indole,sal,nat,0.0676,602.0219264,20,-6.762648198,81.3183017,-94.84359809,73.22290424,98.61461006,47.83119842,17572.78056,17670.39915,17475.16197
